curvature,radius,v_max_ms,ay_max_ms2
0.033755,29.625,22.4983,
0.034335,29.125,,
0.034934,28.625,21.9455,
0.035556,28.125,,
0.036199,27.625,21.1628,
0.036866,27.125,21.1101,
0.037559,26.625,,
0.038278,26.125,,
0.039024,25.625,20.2651,
0.039801,25.125,19.9808,
0.040609,24.625,19.6954,
0.041451,24.125,19.4095,
0.042328,23.625,19.0971,
0.044199,22.625,18.5644,
0.045198,22.125,18.2926,
0.046243,21.625,17.9693,
0.047337,21.125,17.6794,
0.048485,20.625,17.3865,
0.049689,20.125,,
0.050955,19.625,16.7944,
0.052288,19.125,16.4984,
0.053691,18.625,16.1968,16.9500
0.055172,18.125,15.8991,16.8800
0.056738,17.625,15.7445,16.8000
0.058394,17.125,15.2924,16.7200
0.060150,16.625,15.1396,16.6500
0.064000,15.625,,16.5000
0.066116,15.125,14.2013,16.4000
0.068376,14.625,,16.3500
0.070796,14.125,13.5749,16.2600
0.073394,13.625,13.2161,16.2000
0.076190,13.125,12.9030,16.1000
0.079208,12.625,,16.0500
0.082474,12.125,12.0120,15.9400
0.089888,11.125,11.5096,15.7800
0.098765,10.125,10.9080,15.6200
0.103896,9.625,10.6096,
0.109589,9.125,10.3028,15.4600
0.115942,8.625,,15.3600
0.123077,8.125,,15.2500
0.131148,7.625,,
0.140351,7.125,,
0.150943,6.625,,
0.163265,6.125,,
0.177778,5.625,,
0.195122,5.125,,
0.216216,4.625,,
0.242424,4.125,,
